"ID" "condition" "time" "time_n" "time_nmd"
"66" 17 "Incongruent" 3.697319 1.53127610858306 0.966381392411983
"67" 17 "Novel" 2.6248785 0.706413511664673 -0.0763606640914086
"68" 17 "Random" 2.135406 -0.315247642784685 -0.552278499394958
"69" 18 "Congruent" 2.702715 0.758120934947482 0.47509035844315
"70" 18 "Incongruent" 2.59318 0.382474107790305 0.30848098244902
"71" 18 "Novel" 2.299586 -0.135354056667531 -0.138093291852531
"72" 18 "Random" 1.787965 -0.712090556029777 -0.916299851906328
"73" 19 "Congruent" 1.610538 -0.837052952733 -0.934712197415194
"74" 19 "Incongruent" 2.2812625 0.265220709497626 -0.0230781640880545
"75" 19 "Novel" 2.843565 1.40552736946749 0.741191064223919
"76" 19 "Random" 2.548396 1.17070510128066 0.340003831637158
"77" 20 "Congruent" 3.675374 -0.203337547948353 -0.415762015405912
"78" 20 "Incongruent" 4.736129 0.449017942805841 0.211755239265231
"79" 20 "Novel" 5.280925 0.570745991455131 0.534043505901561
"80" 20 "Random" 4.153653 0.0315217355282938 -0.132823612997382
"81" 21 "Congruent" 3.484637 0.10557227753701 0.0532959698188569
"82" 21 "Incongruent" 3.329631 0.0826993236008432 -0.069722690242222
"83" 21 "Novel" 3.4304565 0.24259585490131 0.0102962632820822
"84" 21 "Random" 3.08237 0.229754512732423 -0.265958428893386
"85" 22 "Congruent" 2.010954 1.24582716202868 0.349051134711874
"86" 22 "Incongruent" 1.383174 -0.728274479285737 -0.868130152414445
"87" 22 "Novel" 1.900278 0.464986719914977 0.134465203121202
"88" 22 "Random" 1.865244 0.769865640357592 0.066538972255001
"89" 23 "Congruent" 2.120152 0.475150985900653 -0.000932699068302739
"90" 23 "Incongruent" 2.187912 0.459069172662829 0.170572562446472
"91" 23 "Novel" 2.055453 0.0873995456867118 -0.164690357196172
"92" 23 "Random" 2.078896 0.167182162555911 -0.105354497608055
"93" 24 "Congruent" 1.653231 0.624216966096213 0.00720544165497972
"94" 24 "Incongruent" 1.766284 0.689195210582926 0.254315041357837
"95" 24 "Novel" 1.449253 -0.0875480931229032 -0.438646697856483
"96" 24 "Random" 1.696163 0.782009768737365 0.101045581540194
"97" 25 "Congruent" 2.703453 -0.0200572619086085 -0.247403633469185
"98" 25 "Incongruent" 2.790173 0.0635205190579262 -0.109534100613214
"99" 25 "Novel" 2.9379515 0.553801617287856 0.125407697831853
"100" 25 "Random" 3.026203 0.617095344082214 0.265712046065696
"101" 26 "Congruent" 1.831837 0.268748083961254 0.135113555970161
"102" 26 "Incongruent" 1.562409 -0.643089086497498 -0.673185734789181
"103" 26 "Novel" 1.9897835 1.01053753759334 0.608962019856322
"104" 26 "Random" 1.909656 0.544858622989016 0.368574972406468
"105" 27 "Congruent" 2.099986 -0.0116129972181758 -0.208219647062277
"106" 27 "Incongruent" 2.368037 0.615399730243035 0.417071464462376
"107" 27 "Novel" 1.784798 -0.921692090746855 -0.943468740925877
"108" 27 "Random" 2.3892775 0.532120818279103 0.466619855829463
"109" 28 "Congruent" 2.825166 -0.0317787635839097 -0.469667522498061
"110" 28 "Incongruent" 4.26648 0.96686450372839 0.592068354928147
"111" 28 "Novel" 2.79174 -0.31310728068733 -0.494290597996424
"112" 28 "Random" 4.1195535 0.852282700438225 0.483835772441152
"113" 29 "Congruent" 1.585708 0.13474979304754 -0.175806950344523
"114" 29 "Incongruent" 1.8056425 0.580861176665276 0.314744659565812
"115" 29 "Novel" 1.8228265 0.39341747114056 0.35307261113639
"116" 29 "Random" 1.350779 -0.39318718847196 -0.699802954448587
"117" 30 "Congruent" 2.021797 -0.0171540289809668 -0.0319391058804942
"118" 30 "Incongruent" 1.944117 0.0212791121407219 -0.11316450266546
"119" 30 "Novel" 2.202184 0.322490545254462 0.156680946254541
"120" 30 "Random" 2.05758 0.052616149351848 0.00547706782131355
"121" 31 "Congruent" 3.146908 -0.345170666000462 -0.376109227130395
"122" 31 "Incongruent" 3.9324635 0.676995303586608 0.470914759719457
"123" 31 "Novel" 3.50897 0.288033436426181 0.0142835569909448
"124" 31 "Random" 3.33919 0.28020320014074 -0.168781461950897
"125" 32 "Congruent" 2.5882425 0.897968414353691 -0.13892245072624
"126" 32 "Incongruent" 2.483863 0.231020573401197 -0.263763981864869
"127" 32 "Novel" 3.0626565 0.886377008209892 0.428493278929502
"128" 32 "Random" 2.760386 0.661661383138467 0.0669671934621548
"129" 33 "Congruent" 2.4123555 0.658547613280665 0.415377895544221
"130" 33 "Incongruent" 2.074891 -0.175966460997641 -0.368839294991389
"131" 33 "Novel" 2.147378 0.0661919143072894 -0.200390312978897
"132" 33 "Random" 2.298761 0.333594818485586 0.151401211625476
