"ID" "condition" "block" "time" "time_n" "time_nmd" "dist" "hits"
"72" 14 "Random" 3 3.015528 -0.137500484384384 -0.157986450554716 0.07957129 1.5
"73" 15 "Congruent" 1 2.477901 0.742464714500684 -0.197864999503624 0.01151762 15.5
"74" 15 "Congruent" 2 2.636733 0.629979100366332 0.0140920362223369 0.0125476 14.5
"75" 15 "Congruent" 3 3.237211 0.807761100521105 0.815413790646215 0.013226955 11.5
"76" 15 "Incongruent" 1 2.166131 -0.00710298984851767 -0.613913686344328 0.01640943 13.5
"77" 15 "Incongruent" 2 2.277647 -0.428790013846212 -0.46509858110095 0.01630668 14
"78" 15 "Incongruent" 3 2.165097 -0.276556621470469 -0.615293531557766 0.021038305 12.5
"79" 15 "Novel" 1 2.502044 0.428266712185456 -0.165646814795681 0.066531435 0.5
"80" 15 "Novel" 2 2.457622 0.210399038350054 -0.224926780048393 0.078319155 0.5
"81" 15 "Novel" 3 2.636446 -0.0170249002003982 0.0137090424348547 0.062655115 0.5
"82" 15 "Random" 1 2.682155 0.313280808669785 0.0747064746021631 0.060704245 2.5
"83" 15 "Random" 2 2.769948 0.38657222849831 0.191863873850987 0.06497226 2.5
"84" 15 "Random" 3 3.61933 1.68297057895777 1.32534132750635 0.06305813 1
"85" 16 "Congruent" 1 2.592252 2.78337589961407 1.52179780840498 0.016632355 13
"86" 16 "Congruent" 2 1.83227 0.063224053525074 0.00234121816985847 0.014186465 14
"87" 16 "Congruent" 3 1.944095 0.512496548390328 0.225916557063467 0.01369952 13.5
"88" 16 "Incongruent" 1 1.542484 -0.463468459370359 -0.577037303239696 0.06393596 5
"89" 16 "Incongruent" 2 1.275708 -1.01916024461264 -1.11041118751138 0.043667825 6
"90" 16 "Incongruent" 3 1.319006 -1.06860361033906 -1.02384409586448 0.051903755 3.5
"91" 16 "Novel" 1 2.212333 0.85486652450502 0.762213465215884 0.064004095 4
"92" 16 "Novel" 2 1.744081 0.0174729342911353 -0.173977901541195 0.040961295 7
"93" 16 "Novel" 3 1.587715 0.0584898524204834 -0.486605502180033 0.03235463 7
"94" 16 "Random" 1 2.258061 1.01224766070428 0.853638934448408 0.06366169 1.5
"95" 16 "Random" 2 1.922378 0.209956040789963 0.18249705664091 0.05482354 3.5
"96" 16 "Random" 3 1.831099 -0.0786649612662017 0 0.06553002 3
"97" 17 "Congruent" 1 4.414858 1.64074657462145 1.66405002063088 0.01158146 12.5
"98" 17 "Congruent" 2 2.736644 0.573901648273221 0.0323097817898595 0.0108289 13.5
"99" 17 "Congruent" 3 2.646602 -0.198872806276998 -0.0552387397846972 0.013149235 14
"100" 17 "Incongruent" 1 4.991599 1.94776197593831 2.2248196823602 0.02296955 11
"101" 17 "Incongruent" 2 5.341094 2.25202350293978 2.56463632956595 0.019290815 11.5
"102" 17 "Incongruent" 3 2.602542 0.18727316292346 -0.0980786129613811 0.02537049 12
"103" 17 "Novel" 1 4.094204 1.65028263106562 1.35227569712665 0.01947015 8
"104" 17 "Novel" 2 2.636285 0.630120474126055 -0.065270037368988 0.019998815 8
"105" 17 "Novel" 3 2.333888 -0.0885572533206616 -0.359292940887138 0.023059765 10
"106" 17 "Random" 1 2.518143 0.218654317288701 -0.180140402708066 0.07015101 2
"107" 17 "Random" 2 2.1917815 -0.408483360175126 -0.497464171880838 0.058448985 2.5
